T,MSD
0,0
0.005,0.000112501
0.01,0.000450009
0.015,0.00101254
0.02,0.00180014
0.025,0.00281284
0.03,0.00405071
0.035,0.00551382
0.04,0.00720226
0.045,0.00911612
0.05,0.0112555
0.055,0.0136206
0.06,0.0162115
0.065,0.0190284
0.07,0.0220715
0.075,0.025341
0.08,0.028837
0.085,0.0325598
0.09,0.0365098
0.095,0.040687
0.1,0.045092
0.105,0.0497249
0.11,0.0545862
0.115,0.0596761
0.12,0.0649952
0.125,0.0705439
0.13,0.0763225
0.135,0.0823317
0.14,0.0885719
0.145,0.0950437
0.15,0.101748
0.155,0.108685
0.16,0.115855
0.165,0.12326
0.17,0.130899
0.175,0.138774
0.18,0.146886
0.185,0.155235
0.19,0.163821
0.195,0.172646
0.2,0.18171
0.205,0.191013
0.21,0.200556
0.215,0.210338
0.22,0.22036
0.225,0.230619
0.23,0.241114
0.235,0.251842
0.24,0.2628
0.245,0.273981
0.25,0.285382
0.255,0.296999
0.26,0.308827
0.265,0.320865
0.27,0.333109
0.275,0.345559
0.28,0.358214
0.285,0.371073
0.29,0.384136
0.295,0.397403
0.3,0.410873
0.305,0.424545
0.31,0.438414
0.315,0.45248
0.32,0.466739
0.325,0.481188
0.33,0.495825
0.335,0.510651
0.34,0.525664
0.345,0.540867
0.35,0.556261
0.355,0.571848
0.36,0.58763
0.365,0.603607
0.37,0.61978
0.375,0.636144
0.38,0.652699
0.385,0.66944
0.39,0.686362
0.395,0.703462
0.4,0.720739
0.405,0.738192
0.41,0.755821
0.415,0.773626
0.42,0.791606
0.425,0.809759
0.43,0.828082
0.435,0.846572
0.44,0.865229
0.445,0.884053
0.45,0.903046
0.455,0.92221
0.46,0.941547
0.465,0.961058
0.47,0.980746
0.475,1.00061
0.48,1.02066
0.485,1.04089
0.49,1.0613
0.495,1.0819
0.5,1.10268
0.505,1.12365
0.51,1.1448
0.515,1.16615
0.52,1.18768
0.525,1.20939
0.53,1.23129
0.535,1.25338
0.54,1.27565
0.545,1.29809
0.55,1.32071
0.555,1.34351
0.56,1.36648
0.565,1.38963
0.57,1.41296
0.575,1.43646
0.58,1.46016
0.585,1.48403
0.59,1.50809
0.595,1.53232
0.6,1.55672
0.605,1.58129
0.61,1.606
0.615,1.63087
0.62,1.65588
0.625,1.68104
0.63,1.70635
0.635,1.73183
0.64,1.75747
0.645,1.78329
0.65,1.80928
0.655,1.83543
0.66,1.86176
0.665,1.88824
0.67,1.91488
0.675,1.94169
0.68,1.96865
0.685,1.99577
0.69,2.02306
0.695,2.05051
0.7,2.07813
0.705,2.10592
0.71,2.13389
0.715,2.16201
0.72,2.1903
0.725,2.21875
0.73,2.24734
0.735,2.27607
0.74,2.30494
0.745,2.33393
0.75,2.36305
0.755,2.3923
0.76,2.42168
0.765,2.45118
0.77,2.48083
0.775,2.51061
0.78,2.54054
0.785,2.57061
0.79,2.60083
0.795,2.63121
0.8,2.66174
0.805,2.69243
0.81,2.72327
0.815,2.75426
0.82,2.7854
0.825,2.81668
0.83,2.84811
0.835,2.87969
0.84,2.91141
0.845,2.94329
0.85,2.9753
0.855,3.00747
0.86,3.03977
0.865,3.07222
0.87,3.10481
0.875,3.13754
0.88,3.17041
0.885,3.20343
0.89,3.2366
0.895,3.26992
0.9,3.3034
0.905,3.33703
0.91,3.37081
0.915,3.40476
0.92,3.43886
0.925,3.47311
0.93,3.50753
0.935,3.5421
0.94,3.57682
0.945,3.6117
0.95,3.64672
0.955,3.68188
0.96,3.71717
0.965,3.7526
0.97,3.78814
0.975,3.8238
0.98,3.85958
0.985,3.89546
0.99,3.93144
0.995,3.96753
1,4.00371
1.005,4.03999
1.01,4.07635
1.015,4.11279
1.02,4.14931
1.025,4.18592
1.03,4.22261
1.035,4.25941
1.04,4.29632
1.045,4.33333
1.05,4.37047
1.055,4.40774
1.06,4.44514
1.065,4.48268
1.07,4.52035
1.075,4.55816
1.08,4.59611
1.085,4.6342
1.09,4.67242
1.095,4.71077
1.1,4.74925
1.105,4.78785
1.11,4.82658
1.115,4.86541
1.12,4.90435
1.125,4.9434
1.13,4.98254
1.135,5.02179
1.14,5.06113
1.145,5.10056
1.15,5.14009
1.155,5.17973
1.16,5.21947
1.165,5.25931
1.17,5.29927
1.175,5.33934
1.18,5.37952
1.185,5.41981
1.19,5.46022
1.195,5.50073
1.2,5.54136
1.205,5.58209
1.21,5.62291
1.215,5.66384
1.22,5.70486
1.225,5.74599
1.23,5.78721
1.235,5.82854
1.24,5.86999
1.245,5.91157
1.25,5.95327
1.255,5.9951
1.26,6.03707
1.265,6.07918
1.27,6.12142
1.275,6.16379
1.28,6.20631
1.285,6.24896
1.29,6.29176
1.295,6.3347
1.3,6.37779
1.305,6.42104
1.31,6.46444
1.315,6.50799
1.32,6.55171
1.325,6.59557
1.33,6.63958
1.335,6.68372
1.34,6.728
1.345,6.77239
1.35,6.81689
1.355,6.86149
1.36,6.9062
1.365,6.95101
1.37,6.99592
1.375,7.04094
1.38,7.08605
1.385,7.13125
1.39,7.17652
1.395,7.22187
1.4,7.26728
1.405,7.31276
1.41,7.35831
1.415,7.40394
1.42,7.44963
1.425,7.4954
1.43,7.54125
1.435,7.58717
1.44,7.63316
1.445,7.67924
1.45,7.72539
1.455,7.77162
1.46,7.81793
1.465,7.86434
1.47,7.91084
1.475,7.95742
1.48,8.0041
1.485,8.05087
1.49,8.09773
1.495,8.14467
1.5,8.1917
1.505,8.2388
1.51,8.28598
1.515,8.33323
1.52,8.38056
1.525,8.42796
1.53,8.47542
1.535,8.52297
1.54,8.57058
1.545,8.61829
1.55,8.66608
1.555,8.71397
1.56,8.76195
1.565,8.81004
1.57,8.85823
1.575,8.90652
1.58,8.95491
1.585,9.00339
1.59,9.05196
1.595,9.10061
1.6,9.14932
1.605,9.19811
1.61,9.24696
1.615,9.2959
1.62,9.34493
1.625,9.39405
1.63,9.44328
1.635,9.49262
1.64,9.54206
1.645,9.59163
1.65,9.64131
1.655,9.69112
1.66,9.74104
